story,event_num,isc_r,p
Grandfather Clocks,1,0.1312938063178015,0.26914617076584685
Grandfather Clocks,2,0.036047209188821636,0.5380923815236953
Grandfather Clocks,3,0.018637402960252233,0.8174365126974605
Grandfather Clocks,4,0.04072519329425083,0.5432913417316536
Grandfather Clocks,5,0.1266723682131364,0.1349730053989202
Grandfather Clocks,6,0.16086360620858686,0.028594281143771244
Grandfather Clocks,7,0.31275989864678133,0.0003999200159968006
Grandfather Clocks,8,-0.06284580143715918,1.657268546290742
Grandfather Clocks,9,0.09188999024328785,0.4377124575084983
Grandfather Clocks,10,0.24237517789761026,0.038992201559688064
Grandfather Clocks,11,0.12182696555325076,0.1985602879424115
Grandfather Clocks,12,0.13179801045043604,0.2555488902219556
Grandfather Clocks,13,0.0420535367913871,0.6190761847630474
Grandfather Clocks,14,0.024888880315986732,0.6464707058588283
Grandfather Clocks,15,-0.005915327456761475,1.0619876024795043
Grandfather Clocks,16,0.2504702303675165,0.02659468106378724
Grandfather Clocks,17,-0.0518649557774331,1.5100979804039194
Grandfather Clocks,18,0.09304716224212775,0.22535492901419715
Grandfather Clocks,19,-0.33242223617322825,2.0
Grandfather Clocks,20,0.2893184032203815,0.0027994401119776045
Grandfather Clocks,21,-0.028772673832586904,1.291741651669666
Grandfather Clocks,22,-0.2171167357724239,1.9998000399920017
Grandfather Clocks,23,0.2888585561634197,0.0003999200159968006
Grandfather Clocks,24,-0.07303331983820427,1.6426714657068586
Grandfather Clocks,25,0.061074094126755664,0.5102979404119176
Grandfather Clocks,26,-0.0901735463290931,1.7468506298740252
Grandfather Clocks,27,-0.051725257683010714,1.620875824835033
Grandfather Clocks,28,-0.028409758715691905,1.2455508898220355
Grandfather Clocks,29,-0.015610684996845675,1.18876224755049
Impatient Billionaire,1,-0.28946937526392713,2.0
Impatient Billionaire,2,0.12576127152887337,0.04299140171965607
Impatient Billionaire,3,0.13766327298719275,0.10277944411117776
Impatient Billionaire,4,-0.05809930142954322,1.5950809838032394
Impatient Billionaire,5,0.10412294472941219,0.1261747650469906
Impatient Billionaire,6,-0.01525764908559569,1.1485702859428115
Impatient Billionaire,7,0.13357355794780562,0.13577284543091384
Impatient Billionaire,8,0.08192565956707314,0.34273145370925817
Impatient Billionaire,9,0.22543481953849642,0.0631873625274945
Impatient Billionaire,10,-0.14489403069551965,1.9568086382723455
Impatient Billionaire,11,0.163643091568325,0.03179364127174565
Impatient Billionaire,12,0.15860038998699988,0.09618076384723057
Impatient Billionaire,13,0.2886462284041467,0.004599080183963208
Impatient Billionaire,14,-0.012675280859555731,1.093381323735253
Impatient Billionaire,15,-0.11889737493197733,1.8866226754649071
Impatient Billionaire,16,0.28273068983721766,0.0007998400319936012
Impatient Billionaire,17,0.12236532680608421,0.15536892621475706
Dont Look,1,0.2427617227825571,0.0017996400719856027
Dont Look,2,0.15921921321598534,0.04379124175164967
Dont Look,3,-0.1483058225603073,1.9954009198160367
Dont Look,4,-0.0025837409867158602,1.0385922815436912
Dont Look,5,0.005009017484591686,0.9586082783443312
Dont Look,6,-0.06205918001335496,1.4907018596280743
Dont Look,7,0.04869620393218888,0.5060987802439512
Dont Look,8,0.08809001977457485,0.386122775444911
Dont Look,9,0.014779991440674172,0.7990401919616077
Dont Look,10,0.07960838813403855,0.3593281343731254
Dont Look,11,-0.018853428804200555,1.2169566086782644
Dont Look,12,0.1971606888088328,0.01879624075184963
Dont Look,13,-0.03195637964038382,1.2435512897420518
Dont Look,14,-0.016332391439297538,1.1227754449110177
Dont Look,15,0.06736141667083792,0.39172165566886624
Dont Look,16,0.056582755083323354,0.49470105978804235
Dont Look,17,0.31856259372152823,0.0003999200159968006
Dont Look,18,-0.020908254665378864,1.19876024795041
Dont Look,19,0.014873797290957405,0.8844231153769246
Dont Look,20,0.08037980487163886,0.18716256748650267
Dont Look,21,0.04014609735663302,0.707258548290342
Dont Look,22,0.1405294296269667,0.0637872425514897
Dont Look,23,0.026556828911140157,0.7894421115776844
Dont Look,24,0.03541146465679225,0.5846830633873226
Dont Look,25,0.09259223290580695,0.3133373325334933
Dont Look,26,0.05394969089145896,0.4495100979804039
Dont Look,27,0.14343280349345258,0.1319736052789442
Dont Look,28,0.15941859854250431,0.1401719656068786
Dont Look,29,0.14420786909494937,0.06298740251949611
Dont Look,30,0.00342165505428387,0.968006398720256
Dont Look,31,-0.03623423756321924,1.4509098180363926
Dont Look,32,0.30267380499130386,0.0013997200559888023
Dont Look,33,0.039462436304954884,0.6660667866426715
Dont Look,34,0.3908076504296324,0.0003999200159968006
Dont Look,35,-0.1869465962121624,1.8620275944811038
Dont Look,36,0.10287681792012048,0.1345730853829234
Dont Look,37,-0.15394757179284665,1.72125574885023
Dont Look,38,0.014316752282329972,0.8628274345130974
Dont Look,39,0.10545843416697283,0.2423515296940612
Dont Look,40,0.28818930452693453,0.0017996400719856027
Dont Look,41,0.2134122514184526,0.001399720055988802
