subject,group,run,story,valence,spectral_centroid
1042,3,run_2,Pool Party,positive,0.08257400059825187
1010,1,run_2,Impatient Billionaire,positive,0.052978590261242624
1044,2,run_2,Sea Ice,neutral,0.048719441001722034
1031,1,run_2,Dont Look,negative,0.04335297961063978
1010,1,run_2,Grandfather Clocks,neutral,0.06489830275945387
1035,2,run_2,Sea Ice,neutral,0.07625163519793954
1041,2,run_2,Impatient Billionaire,positive,0.058118883917221004
1025,1,run_2,Impatient Billionaire,positive,0.045394860585535955
1045,3,run_2,Natalie Wood,negative,0.03592818366945153
1026,2,run_2,Sea Ice,neutral,0.06794781027863751
1012,3,run_2,Pool Party,positive,0.06219468918836784
1012,3,run_2,Natalie Wood,negative,0.050839575731134075
1027,3,run_2,Pool Party,positive,0.04919044708176878
1034,1,run_2,Grandfather Clocks,neutral,0.06062816702597713
1018,3,run_2,Grandfather Clocks,neutral,0.06822044657530033
1017,2,run_2,Sea Ice,neutral,0.04948250340123453
1044,2,run_2,Impatient Billionaire,positive,0.0547471802750663
1029,2,run_2,Sea Ice,neutral,0.05942120388003739
