event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
18,0.34176585,0.2654497,0.44568744,0.23142569,0.26870376,0.21833499,0.22425087,0.33523917,0.24393612,0.45647275,0.32278067,0.37459528,0.2583571,0.37887198,0.33095682,0.26375106,0.36036915,0.0,0.4375806,0.5002516,0.30240667,0.07568704,0.25633782,0.43636507,0.26573136,0.33907303,0.37592378,0.24556696,0.29668653,0.43462592,0.23700386,0.20073673,0.253465,0.34026,0.22539073,0.40990576,0.32699898,0.5164088,0.45701903,0.47510406,0.32884625
19,0.28842333,0.16460423,0.5172403,0.39260697,0.25971523,0.1953797,0.2560129,0.28533167,0.36239046,0.2953289,0.32815456,0.27840504,0.25290284,0.25868163,0.27950847,0.2737548,0.2893406,0.4375806,0.0,0.3065137,0.35849088,0.25267875,0.2747846,0.4481189,0.24898332,0.30314746,0.579211,0.3275232,0.34726575,0.35810283,0.26840767,0.19232121,0.15377496,0.23788407,0.22265014,0.4178468,0.38318506,0.30621445,0.22547969,0.26856628,0.17781271
20,0.24378547,0.1580286,0.34544963,0.24390712,0.21593967,0.25004068,0.2198887,0.34314078,0.3252,0.45407152,0.32479998,0.2621369,0.26238903,0.2298511,0.26264513,0.38461286,0.32909545,0.5002516,0.3065137,0.0,0.31837425,0.0074920356,0.26311752,0.3514006,0.24835065,0.3926574,0.34863532,0.33854258,0.40197653,0.3881914,0.22758882,0.24387284,0.2582052,0.45934707,0.25726506,0.33663338,0.28696227,0.50982356,0.44595706,0.47448838,0.33477208
21,0.2828204,0.1396138,0.35839617,0.27635214,0.15789104,0.20587789,0.11637476,0.26992473,0.14477521,0.28545272,0.29114637,0.29339778,0.13788469,0.23936903,0.22978126,0.14564642,0.12644398,0.30240667,0.35849088,0.31837425,0.0,0.12398249,0.42889747,0.37037656,0.28215447,0.28408685,0.34726003,0.1467569,0.09249005,0.31985816,0.16763575,0.14319979,0.13870609,0.13891834,0.14887595,0.37264803,0.16195203,0.33437175,0.3052825,0.34424698,0.40149376
22,0.32999966,0.25954267,0.33470964,0.38556564,0.32101777,0.24664016,0.4148438,0.32213315,0.23560487,0.12589285,0.23779726,0.3683555,0.40092188,0.26725608,0.23944303,0.2547723,0.1545316,0.07568704,0.25267875,0.0074920356,0.12398249,0.0,0.3435112,0.0924743,0.16114387,0.12800017,0.14016077,0.3084903,0.17989106,0.18580928,0.28912127,0.13589218,0.07960634,0.03308999,0.074802965,0.27985927,0.19047233,0.09734914,0.033414576,0.12941627,0.13938509
23,0.50086147,0.51673025,0.4317919,0.4438411,0.37802687,0.38635612,0.42179173,0.39314425,0.21366902,0.14457281,0.44738272,0.4000453,0.41995135,0.2545719,0.2554704,0.3068739,0.2550342,0.25633782,0.2747846,0.26311752,0.42889747,0.3435112,0.0,0.26453403,0.38305646,0.34761176,0.33300483,0.23267642,0.17590019,0.32873195,0.38105834,0.17154285,0.2263198,0.20855238,0.21071094,0.4163623,0.2578644,0.40139994,0.3212371,0.35024738,0.37126344
24,0.34764633,0.19513251,0.45016342,0.3154878,0.30200562,0.2199172,0.19102685,0.3744589,0.2992856,0.50681543,0.37712327,0.43144065,0.17494902,0.32320702,0.36089167,0.2525071,0.30132273,0.43636507,0.4481189,0.3514006,0.37037656,0.0924743,0.26453403,0.0,0.40734553,0.37047708,0.3483209,0.21967188,0.28240448,0.5469925,0.26925126,0.12989292,0.18876551,0.20318983,0.111598015,0.45608336,0.29115906,0.4898496,0.38498977,0.33002543,0.45269614
25,0.36060563,0.21360154,0.38214234,0.44040102,0.42675406,0.3810737,0.28824162,0.3950873,0.2646977,0.33822024,0.41577065,0.38886547,0.2818371,0.25301582,0.32022297,0.33351225,0.3381337,0.26573136,0.24898332,0.24835065,0.28215447,0.16114387,0.38305646,0.40734553,0.0,0.6154877,0.35485944,0.3237186,0.17797282,0.31937885,0.30902925,0.20904535,0.2568372,0.3100994,0.26396805,0.558362,0.315451,0.36303383,0.41114604,0.37489447,0.4223723
26,0.3270183,0.25983033,0.4957822,0.39850935,0.34893748,0.28924942,0.18859749,0.39383298,0.3726417,0.37509722,0.3979087,0.39652863,0.32411903,0.36407247,0.32911485,0.4445296,0.35945275,0.33907303,0.30314746,0.3926574,0.28408685,0.12800017,0.34761176,0.37047708,0.6154877,0.0,0.3950606,0.38991135,0.30616832,0.35154322,0.37359217,0.3497223,0.36513767,0.39577278,0.39782807,0.4992199,0.31108928,0.37902766,0.4128635,0.42081362,0.52158433
27,0.32523793,0.15128136,0.5494574,0.38388398,0.25281972,0.29498655,0.2284857,0.27242807,0.37391347,0.24558699,0.4543854,0.35654736,0.22265297,0.2180914,0.2421325,0.3868609,0.36220518,0.37592378,0.579211,0.34863532,0.34726003,0.14016077,0.33300483,0.3483209,0.35485944,0.3950606,0.0,0.39509958,0.25553712,0.3893384,0.33110252,0.23957607,0.23479056,0.46612257,0.44869298,0.56710225,0.39118207,0.31415892,0.34430534,0.41079655,0.23875564
28,0.19268546,0.27462983,0.36281753,0.3057965,0.18021235,0.23755652,0.24029325,0.34206542,0.42065206,0.32911873,0.35884693,0.34376204,0.21523497,0.24579039,0.376075,0.372508,0.3824505,0.24556696,0.3275232,0.33854258,0.1467569,0.3084903,0.23267642,0.21967188,0.3237186,0.38991135,0.39509958,0.0,0.47475582,0.33000386,0.3085248,0.4611556,0.4605765,0.45415148,0.4183932,0.43594643,0.40405843,0.338141,0.31690955,0.36733586,0.20322818
29,0.265954,0.28434113,0.3073903,0.32391155,0.20859179,0.26625735,0.2566491,0.30570832,0.57893467,0.28523648,0.32927662,0.26287657,0.3267288,0.18707858,0.4114897,0.34362996,0.35830373,0.29668653,0.34726575,0.40197653,0.09249005,0.17989106,0.17590019,0.28240448,0.17797282,0.30616832,0.25553712,0.47475582,0.0,0.44310075,0.40252915,0.34441194,0.41843262,0.32613903,0.3437732,0.39115143,0.37018454,0.33236933,0.22355993,0.35335085,0.1980934
30,0.37584117,0.3798205,0.51581085,0.44175708,0.3660267,0.3968456,0.30449763,0.32891974,0.45431334,0.49225315,0.45595816,0.49492553,0.28943053,0.44013166,0.37584206,0.41272187,0.41336882,0.43462592,0.35810283,0.3881914,0.31985816,0.18580928,0.32873195,0.5469925,0.31937885,0.35154322,0.3893384,0.33000386,0.44310075,0.0,0.45294186,0.30973837,0.40969315,0.3634201,0.30103955,0.5559291,0.34779346,0.5733758,0.37502766,0.4554772,0.38049194
31,0.4833664,0.41162884,0.43741947,0.47818753,0.49839306,0.5826198,0.46979955,0.31998217,0.40820295,0.26076603,0.40600857,0.46822947,0.4530267,0.38526535,0.38346496,0.48309252,0.49908677,0.23700386,0.26840767,0.22758882,0.16763575,0.28912127,0.38105834,0.26925126,0.30902925,0.37359217,0.33110252,0.3085248,0.40252915,0.45294186,0.0,0.29940212,0.37182993,0.31428093,0.44861475,0.41106197,0.37320223,0.30178055,0.34584936,0.3672331,0.15768076
32,0.12578154,0.2980111,0.2266994,0.27518052,0.14438938,0.20592798,0.13377252,0.24347672,0.36549395,0.2184196,0.2860916,0.26908198,0.107011825,0.27577245,0.37362126,0.45976445,0.34110984,0.20073673,0.19232121,0.24387284,0.14319979,0.13589218,0.17154285,0.12989292,0.20904535,0.3497223,0.23957607,0.4611556,0.34441194,0.30973837,0.29940212,0.0,0.54016465,0.46532765,0.42183924,0.30478436,0.18022752,0.22616868,0.25343296,0.23766986,0.17175163
33,0.19262347,0.3289811,0.2333938,0.28153983,0.18748188,0.22560531,0.12932399,0.29966193,0.28519705,0.2708846,0.23799348,0.30919087,0.24107817,0.33796233,0.37432015,0.3673562,0.4135086,0.253465,0.15377496,0.2582052,0.13870609,0.07960634,0.2263198,0.18876551,0.2568372,0.36513767,0.23479056,0.4605765,0.41843262,0.40969315,0.37182993,0.54016465,0.0,0.44819576,0.37526733,0.33755282,0.25244144,0.23863983,0.2775398,0.23280118,0.14580795
34,0.27121693,0.27906772,0.34896222,0.3280861,0.22404468,0.25374243,0.21566302,0.32786375,0.3306379,0.2843542,0.34675685,0.32956022,0.27277148,0.22306107,0.35189784,0.51112264,0.48398367,0.34026,0.23788407,0.45934707,0.13891834,0.03308999,0.20855238,0.20318983,0.3100994,0.39577278,0.46612257,0.45415148,0.32613903,0.3634201,0.31428093,0.46532765,0.44819576,0.0,0.6635442,0.43503544,0.3726557,0.3663638,0.46601027,0.40293938,0.21840207
35,0.21336485,0.2832661,0.36775145,0.29922655,0.21506347,0.26456115,0.14306489,0.2583635,0.4376821,0.1872969,0.34556523,0.29859546,0.27636844,0.23427157,0.24849814,0.44589242,0.39180762,0.22539073,0.22265014,0.25726506,0.14887595,0.074802965,0.21071094,0.111598015,0.26396805,0.39782807,0.44869298,0.4183932,0.3437732,0.30103955,0.44861475,0.42183924,0.37526733,0.6635442,0.0,0.41049516,0.36847633,0.24392417,0.38456714,0.3537721,0.15324
36,0.5003071,0.27569258,0.5812274,0.5261391,0.35468942,0.4817713,0.3152412,0.42206135,0.47620258,0.39901006,0.5070567,0.547333,0.3421651,0.30107328,0.4178182,0.47639558,0.46641272,0.40990576,0.4178468,0.33663338,0.37264803,0.27985927,0.4163623,0.45608336,0.558362,0.4992199,0.56710225,0.43594643,0.39115143,0.5559291,0.41106197,0.30478436,0.33755282,0.43503544,0.41049516,0.0,0.43300638,0.4840963,0.41865584,0.5597832,0.40166903
37,0.28412008,0.23902251,0.43851763,0.42011392,0.27306262,0.27541253,0.26662564,0.28183204,0.2382798,0.22549532,0.3128529,0.2736064,0.24155731,0.24539098,0.22409111,0.27342558,0.3418436,0.32699898,0.38318506,0.28696227,0.16195203,0.19047233,0.2578644,0.29115906,0.315451,0.31108928,0.39118207,0.40405843,0.37018454,0.34779346,0.37320223,0.18022752,0.25244144,0.3726557,0.36847633,0.43300638,0.0,0.29413965,0.2877719,0.33757648,0.1576032
38,0.40456265,0.359026,0.47176933,0.32381904,0.3743815,0.28618935,0.29213846,0.44519714,0.30811793,0.5227989,0.45170423,0.49314263,0.3351305,0.34475094,0.31280565,0.34363094,0.4710569,0.5164088,0.30621445,0.50982356,0.33437175,0.09734914,0.40139994,0.4898496,0.36303383,0.37902766,0.31415892,0.338141,0.33236933,0.5733758,0.30178055,0.22616868,0.23863983,0.3663638,0.24392417,0.4840963,0.29413965,0.0,0.532082,0.5970512,0.51220965
39,0.3037871,0.23667577,0.38587546,0.2861366,0.32236627,0.3591326,0.18994021,0.5518701,0.22325745,0.39781725,0.38570628,0.39646134,0.26305154,0.33128372,0.2914213,0.4271975,0.41972652,0.45701903,0.22547969,0.44595706,0.3052825,0.033414576,0.3212371,0.38498977,0.41114604,0.4128635,0.34430534,0.31690955,0.22355993,0.37502766,0.34584936,0.25343296,0.2775398,0.46601027,0.38456714,0.41865584,0.2877719,0.532082,0.0,0.50534886,0.41114205
