event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
23,0.16592506,0.32102466,0.03526966,0.16218995,0.21989939,0.2489222,0.042254552,0.23205346,0.22745827,0.1222874,0.15666689,0.2672078,0.3450777,0.20668462,0.13250913,0.28000006,0.29641408,0.20041752,0.2828841,0.08103234,0.30384287,0.18490943,0.0,0.36728555,0.19394985,0.2989723,0.27108806,0.22400601,0.29386866,0.10378925,0.28601336,0.2067306,0.08549641,0.17411432,0.22499664,0.3255339,0.18146387,0.21248357,0.1814216,0.22225423,0.192887,0.21209061,0.16442062,0.34471172,0.24741334,0.17737138,0.21205494,0.21340603,0.1922623,0.20887849,0.22964269,0.2420843,0.15112309,0.20354979,0.123470396
24,0.21492675,0.3304466,0.31764287,0.30278772,0.43150306,0.38324335,0.06439455,0.39767778,0.25048018,0.31175157,0.17812194,0.39121035,0.31112194,0.36847982,0.11113131,0.29026803,0.29548523,0.41471326,0.38902524,0.21430221,0.20088813,0.33927315,0.36728555,0.0,0.34503603,0.52315116,0.29990453,0.46819362,0.3316256,0.1611948,0.4245357,0.27461585,0.14117473,0.27397332,0.27316627,0.47021642,0.4348128,0.4260778,0.21431658,0.24256238,0.365191,0.18989463,0.17778693,0.26737475,0.26596105,0.088979885,0.2589421,0.20328183,0.14552954,0.30165222,0.28844726,0.22037598,0.31760675,0.4254073,0.29216638
25,0.29185927,0.28541356,0.2929971,0.23309588,0.4638958,0.18015295,0.17832367,0.3010872,0.21963046,0.24556279,0.06607985,0.35019624,0.27192387,0.21938524,0.2138391,0.29679078,0.17796105,0.25842685,0.22054005,0.16493173,0.09106415,0.30716616,0.19394985,0.34503603,0.0,0.42704448,0.4644666,0.43688717,0.22490244,0.18057951,0.3426281,0.31505376,0.016612092,0.16659814,0.3554834,0.33581343,0.27696967,0.34954008,0.26296747,0.20876071,0.2233842,0.25964782,0.19385493,0.25067484,0.18606928,0.09966458,0.20342647,0.2032184,0.16058691,0.27356437,0.22146706,0.24454637,0.21034992,0.28053114,0.22913837
26,0.29537222,0.24348988,0.31595635,0.17083094,0.34458914,0.28738806,0.06267754,0.30454987,0.18606023,0.34638223,0.17120236,0.34597424,0.3282093,0.26641405,0.14381993,0.17195068,0.19344862,0.3784653,0.25692514,0.11422289,0.08550091,0.31528696,0.2989723,0.52315116,0.42704448,0.0,0.35328758,0.3849134,0.23792847,0.15375508,0.27212405,0.28138384,0.06813137,0.14057842,0.3958668,0.38118723,0.39815325,0.45389423,0.16263998,0.29088986,0.31610298,0.2311047,0.25448823,0.16210562,0.24487844,0.0562604,0.24696876,0.14721194,0.22396839,0.40969813,0.26652157,0.18025693,0.28893125,0.35110787,0.36366394
27,0.34570706,0.37437075,0.25455487,0.2895031,0.36125147,0.3407851,0.21986428,0.36983204,0.13558301,0.41494986,0.1640997,0.48564842,0.4853205,0.31607297,0.29121348,0.23251753,0.27475235,0.5024864,0.32154995,0.1940866,0.15061565,0.41217858,0.27108806,0.29990453,0.4644666,0.35328758,0.0,0.5566459,0.17178112,0.24118727,0.5098643,0.46417415,0.19122826,0.23120211,0.2731069,0.41730738,0.2862308,0.39755803,0.18861671,0.21479493,0.3104841,0.22567862,0.2677288,0.29986262,0.2737249,0.17351095,0.21783376,0.22103158,0.33567768,0.24481365,0.32686925,0.28748834,0.24815147,0.30561236,0.34255552
28,0.3866719,0.4337027,0.45029214,0.24188437,0.5069886,0.4737479,0.14028224,0.45845044,0.19851911,0.41922873,0.17925031,0.50021875,0.4392081,0.3726925,0.17151666,0.3427348,0.23573044,0.561949,0.40380257,0.23547567,0.13543513,0.31614912,0.22400601,0.46819362,0.43688717,0.3849134,0.5566459,0.0,0.3128369,0.24513578,0.44732153,0.4475896,0.21026027,0.31144375,0.3692066,0.59238863,0.42640394,0.43187368,0.25291947,0.32153666,0.4558624,0.22488242,0.31397164,0.30731708,0.344268,0.15430325,0.3172205,0.21267128,0.26623783,0.33972025,0.34508818,0.31557894,0.31759277,0.38148975,0.35400826
29,0.26568386,0.33409953,0.15158722,0.15651026,0.28178144,0.24729224,0.043705195,0.27351853,0.1441115,0.20240524,0.16463274,0.1968679,0.26864702,0.12345651,0.1882573,0.450416,0.37599882,0.31872094,0.24142316,0.23689403,0.29965964,0.19290061,0.29386866,0.3316256,0.22490244,0.23792847,0.17178112,0.3128369,0.0,0.26657924,0.20042372,0.4173424,0.15238385,0.34061518,0.2511751,0.45087436,0.49389857,0.28159085,0.2891686,0.39761204,0.346412,0.2551749,0.15985103,0.31100684,0.3019871,0.21742465,0.24108697,0.3048286,0.22703637,0.326143,0.17572694,0.24364723,0.29414693,0.31078082,0.30039832
30,0.08831968,0.17771573,0.10569699,0.17071383,0.24815969,0.23691672,0.06955231,0.23139472,0.12440215,0.2583543,0.09456489,0.2159013,0.25356245,0.18357229,0.18733922,0.29875615,0.29195848,0.29769477,0.35527325,0.2444705,0.28444436,0.24808979,0.10378925,0.1611948,0.18057951,0.15375508,0.24118727,0.24513578,0.26657924,0.0,0.23036519,0.4412241,0.24969281,0.28251678,0.19637388,0.21131124,0.16296908,0.16563809,0.2347077,0.28396067,0.19712834,0.16404602,0.01847318,0.098120704,0.14098248,0.24120015,0.21337587,0.17302981,0.22783357,0.17272562,0.22052658,0.18298705,0.21348962,0.17253986,0.2406445
31,0.27401304,0.38043275,0.20915514,0.240728,0.46298653,0.3736016,0.24208297,0.37436903,0.21716177,0.46846467,0.15052734,0.7120514,0.54467887,0.38535312,0.29727644,0.23918626,0.2538179,0.5436606,0.46942836,0.14411865,0.2573978,0.33883527,0.28601336,0.4245357,0.3426281,0.27212405,0.5098643,0.44732153,0.20042372,0.23036519,0.0,0.44751313,0.21702956,0.2270867,0.22118652,0.43267643,0.3673116,0.39924705,0.17478174,0.17514916,0.32444358,0.30161488,0.16195756,0.20946121,0.2247286,0.110045224,0.31025788,0.22824663,0.21864384,0.31552738,0.31145665,0.3644989,0.19283825,0.39572477,0.30474856
32,0.28383893,0.34937352,0.3493881,0.1794624,0.35668543,0.31831658,0.12184954,0.4370937,0.0709495,0.34460813,0.066828296,0.4704923,0.40616018,0.26752713,0.25657925,0.2788379,0.24213484,0.4872088,0.3752289,0.25159228,0.18661135,0.28046227,0.2067306,0.27461585,0.31505376,0.28138384,0.46417415,0.4475896,0.4173424,0.4412241,0.44751313,0.0,0.24991237,0.27195007,0.2416909,0.35357893,0.4071154,0.31552857,0.16357759,0.23786691,0.38246644,0.16799115,0.19643852,0.14225753,0.22704512,0.122950815,0.21321349,0.1856045,0.25218424,0.28097427,0.20759642,0.24252078,0.34137723,0.23102535,0.32749966
