subject,group,story,valence,mean_pupil_size,z_pupil,run
1044,2,Impatient Billionaire,positive,-0.6184220615617344,-0.6184220615617344,run_2
1044,2,Natalie Wood,negative,0.083520725848632,0.083520725848632,run_2
1044,2,Sea Ice,neutral,0.2953510779885633,0.2953510779885633,run_2
1012,3,Sea Ice,neutral,1.0744308283215966,1.0744308283215966,run_1
1012,3,Dont Look,negative,-0.2970340978925647,-0.2970340978925647,run_1
1012,3,Impatient Billionaire,positive,-0.6451952271717967,-0.6451952271717967,run_1
1012,3,Natalie Wood,negative,-0.1350642124979017,-0.1350642124979017,run_2
1012,3,Grandfather Clocks,neutral,-0.0673235242016897,-0.0673235242016897,run_2
1012,3,Pool Party,positive,0.3934377967887016,0.3934377967887016,run_2
1019,1,Pool Party,positive,-0.1262096981475131,-0.1262096981475131,run_1
1019,1,Sea Ice,neutral,-0.5613097459790876,-0.5613097459790876,run_1
1019,1,Natalie Wood,negative,0.3324219624306912,0.3324219624306912,run_1
1019,1,Grandfather Clocks,neutral,-0.6179875839606506,-0.6179875839606506,run_2
1019,1,Impatient Billionaire,positive,-0.3854139596940626,-0.3854139596940626,run_2
1019,1,Dont Look,negative,0.6223685051519523,0.6223685051519523,run_2
1017,2,Dont Look,negative,0.2974441080213388,0.2974441080213388,run_1
1017,2,Pool Party,positive,-0.7284802597564753,-0.7284802597564753,run_1
1017,2,Grandfather Clocks,neutral,0.115385846915025,0.115385846915025,run_1
1017,2,Impatient Billionaire,positive,0.4126125675121639,0.4126125675121639,run_2
1017,2,Natalie Wood,negative,0.2552724600666385,0.2552724600666385,run_2
1017,2,Sea Ice,neutral,-0.841669680160237,-0.841669680160237,run_2
1001,1,Pool Party,positive,0.6124960199432081,0.6124960199432081,run_1
1001,1,Sea Ice,neutral,-0.4498522494543358,-0.4498522494543358,run_1
1001,1,Natalie Wood,negative,-0.6662285450311884,-0.6662285450311884,run_1
1001,1,Grandfather Clocks,neutral,-0.4605310596886736,-0.4605310596886736,run_2
1001,1,Impatient Billionaire,positive,-0.4010900277606125,-0.4010900277606125,run_2
1001,1,Dont Look,negative,0.4926249061892506,0.4926249061892506,run_2
1006,3,Sea Ice,neutral,-0.1667429363278883,-0.1667429363278883,run_1
1006,3,Dont Look,negative,0.1298380531968705,0.1298380531968705,run_1
1006,3,Impatient Billionaire,positive,-0.0758241463821991,-0.0758241463821991,run_1
1006,3,Natalie Wood,negative,-0.0430975472511371,-0.0430975472511371,run_2
1006,3,Grandfather Clocks,neutral,0.2236811803015146,0.2236811803015146,run_2
1006,3,Pool Party,positive,-0.2315883123529326,-0.2315883123529326,run_2
1016,1,Pool Party,positive,-0.6037315172039568,-0.6037315172039568,run_1
1016,1,Sea Ice,neutral,-0.2371837222446614,-0.2371837222446614,run_1
1016,1,Natalie Wood,negative,0.3700282225618235,0.3700282225618235,run_1
1010,1,Pool Party,positive,0.8873978467753663,0.8873978467753663,run_1
1010,1,Sea Ice,neutral,0.1882097268420927,0.1882097268420927,run_1
1010,1,Natalie Wood,negative,-0.4803663897056657,-0.4803663897056657,run_1
1010,1,Grandfather Clocks,neutral,0.0298865725220994,0.0298865725220994,run_2
1010,1,Impatient Billionaire,positive,-0.25701992945401,-0.25701992945401,run_2
1010,1,Dont Look,negative,0.0788035503348283,0.0788035503348283,run_2
1040,1,Pool Party,positive,-0.1058529322394673,-0.1058529322394673,run_1
1040,1,Sea Ice,neutral,-0.0525642023811662,-0.0525642023811662,run_1
1040,1,Natalie Wood,negative,0.0802896672610002,0.0802896672610002,run_1
1040,1,Grandfather Clocks,neutral,-0.3465272969481501,-0.3465272969481501,run_2
1040,1,Impatient Billionaire,positive,0.1199048334790935,0.1199048334790935,run_2
1040,1,Dont Look,negative,0.1901135716505677,0.1901135716505677,run_2
1003,3,Sea Ice,neutral,-0.0117892265563118,-0.0117892265563118,run_1
1003,3,Dont Look,negative,-0.0063665500085812,-0.0063665500085812,run_1
1003,3,Impatient Billionaire,positive,0.0377167659962024,0.0377167659962024,run_1
1003,3,Natalie Wood,negative,-0.1577049095024686,-0.1577049095024686,run_2
1003,3,Grandfather Clocks,neutral,0.085979835274803,0.085979835274803,run_2
1003,3,Pool Party,positive,0.2034116680377494,0.2034116680377494,run_2
1043,1,Pool Party,positive,0.3576167398231253,0.3576167398231253,run_1
1043,1,Sea Ice,neutral,-0.2616697955138874,-0.2616697955138874,run_1
1043,1,Natalie Wood,negative,-0.045713309675584,-0.045713309675584,run_1
1043,1,Grandfather Clocks,neutral,-0.2281706570719997,-0.2281706570719997,run_2
1043,1,Impatient Billionaire,positive,-0.0489089548681435,-0.0489089548681435,run_2
1043,1,Dont Look,negative,0.1859270991841133,0.1859270991841133,run_2
1005,2,Dont Look,negative,-0.432219332341649,-0.432219332341649,run_1
1005,2,Pool Party,positive,-0.0475644395779678,-0.0475644395779678,run_1
1005,2,Grandfather Clocks,neutral,0.5911899325526143,0.5911899325526143,run_1
1005,2,Impatient Billionaire,positive,0.1697490628009351,0.1697490628009351,run_2
1005,2,Natalie Wood,negative,0.2505744401946911,0.2505744401946911,run_2
1005,2,Sea Ice,neutral,-0.6013137637484021,-0.6013137637484021,run_2
1013,1,Pool Party,positive,-0.4518372130734636,-0.4518372130734636,run_1
1013,1,Sea Ice,neutral,-0.2211008425062241,-0.2211008425062241,run_1
1013,1,Natalie Wood,negative,0.3063086481666278,0.3063086481666278,run_1
1013,1,Grandfather Clocks,neutral,0.2744644313048189,0.2744644313048189,run_2
1013,1,Impatient Billionaire,positive,-0.0970563441248584,-0.0970563441248584,run_2
1013,1,Dont Look,negative,-0.1772655279939996,-0.1772655279939996,run_2
1018,3,Sea Ice,neutral,-0.440475410352108,-0.440475410352108,run_1
1018,3,Dont Look,negative,-0.1765919126930317,-0.1765919126930317,run_1
1018,3,Impatient Billionaire,positive,0.8665963211940582,0.8665963211940582,run_1
1018,3,Natalie Wood,negative,0.0791343500856464,0.0791343500856464,run_2
1018,3,Grandfather Clocks,neutral,-0.3143468374827118,-0.3143468374827118,run_2
1018,3,Pool Party,positive,0.2463052859836604,0.2463052859836604,run_2
