subject,group,run,story,valence,spectral_entropy
1015,3,run_2,Natalie Wood,negative,6.214848096145228
1003,3,run_2,Grandfather Clocks,neutral,5.545434947531061
1024,3,run_2,Natalie Wood,negative,6.009549150879763
1041,2,run_2,Sea Ice,neutral,5.587500185629735
1028,1,run_2,Dont Look,negative,5.944603674107094
1019,1,run_2,Impatient Billionaire,positive,5.066882579585014
1006,3,run_2,Grandfather Clocks,neutral,5.54119922082194
1040,1,run_2,Grandfather Clocks,neutral,5.570303573266061
1030,3,run_2,Natalie Wood,negative,6.588952508851068
1034,1,run_2,Dont Look,negative,5.842941114925366
1043,1,run_2,Dont Look,negative,5.913458473356323
1030,3,run_2,Grandfather Clocks,neutral,5.679178328689
1030,3,run_2,Pool Party,positive,5.35299674585178
1038,2,run_2,Natalie Wood,negative,6.244496649381143
1023,2,run_2,Natalie Wood,negative,6.34850193013885
1024,3,run_2,Grandfather Clocks,neutral,5.41450078840103
1045,3,run_2,Grandfather Clocks,neutral,5.487210067045389
1020,2,run_2,Natalie Wood,negative,5.823058358818312
1018,3,run_2,Pool Party,positive,5.25675913460074
1021,3,run_2,Pool Party,positive,5.035803445355435
1035,2,run_2,Natalie Wood,negative,6.750588552253391
1032,2,run_2,Sea Ice,neutral,5.170724176571616
1038,2,run_2,Impatient Billionaire,positive,4.61056756767532
1012,3,run_2,Grandfather Clocks,neutral,5.576661346759068
1015,3,run_2,Grandfather Clocks,neutral,5.064830553206787
1026,2,run_2,Impatient Billionaire,positive,5.05699666941716
1026,2,run_2,Natalie Wood,negative,5.898665297537295
1003,3,run_2,Pool Party,positive,5.409118007276568
1043,1,run_2,Impatient Billionaire,positive,4.895613912113947
1040,1,run_2,Impatient Billionaire,positive,5.099667495150065
1017,2,run_2,Natalie Wood,negative,6.06059517327863
1015,3,run_2,Pool Party,positive,4.842690896654413
1023,2,run_2,Impatient Billionaire,positive,4.90538112654326
1045,3,run_2,Pool Party,positive,5.031182636329812
1042,3,run_2,Grandfather Clocks,neutral,5.967189326616729
1010,1,run_2,Dont Look,negative,6.190942110344772
1004,1,run_2,Grandfather Clocks,neutral,5.8994816022535606
1017,2,run_2,Impatient Billionaire,positive,5.322824494559869
1020,2,run_2,Impatient Billionaire,positive,4.916489434192257
1042,3,run_2,Pool Party,positive,5.4998311175539065
1010,1,run_2,Impatient Billionaire,positive,4.915984602937824
1044,2,run_2,Sea Ice,neutral,4.938276218845792
1031,1,run_2,Dont Look,negative,5.334986148148795
1010,1,run_2,Grandfather Clocks,neutral,5.659288928256567
1035,2,run_2,Sea Ice,neutral,5.478460385731864
1041,2,run_2,Impatient Billionaire,positive,4.843843327736159
1025,1,run_2,Impatient Billionaire,positive,4.411246762179833
1045,3,run_2,Natalie Wood,negative,5.918490179672852
1026,2,run_2,Sea Ice,neutral,5.329036838682694
1012,3,run_2,Pool Party,positive,4.970651493832854
1012,3,run_2,Natalie Wood,negative,6.003730243009306
1027,3,run_2,Pool Party,positive,4.872720273773911
1034,1,run_2,Grandfather Clocks,neutral,5.885843329324622
1018,3,run_2,Grandfather Clocks,neutral,5.7331641093038455
1017,2,run_2,Sea Ice,neutral,4.823483156525527
1044,2,run_2,Impatient Billionaire,positive,4.81591026533833
1029,2,run_2,Sea Ice,neutral,5.187726877861445
