subject,group,run,story,dominant_freq_Hz
1035,2,run_1,Pool Party,0.0294117647058823
1035,2,run_1,Dont Look,0.0478873239436619
1035,2,run_2,Sea Ice,0.0813648293963254
1035,2,run_2,Impatient Billionaire,0.0212121212121212
1037,1,run_1,Pool Party,0.0427807486631016
1037,1,run_1,Sea Ice,0.0157480314960629
1037,1,run_1,Natalie Wood,0.0159509202453987
1037,1,run_2,Grandfather Clocks,0.0205607476635514
1037,1,run_2,Dont Look,0.0225352112676056
1037,1,run_2,Impatient Billionaire,0.0212121212121212
1038,2,run_1,Pool Party,0.0641711229946524
1038,2,run_2,Impatient Billionaire,0.009090909090909
1038,2,run_2,Sea Ice,0.0209973753280839
1038,2,run_1,Dont Look,0.0183098591549295
1038,2,run_1,Grandfather Clocks,0.0149532710280373
1038,2,run_2,Natalie Wood,0.0306748466257668
1039,3,run_1,Dont Look,0.0140845070422535
1039,3,run_2,Grandfather Clocks,0.0205607476635514
1039,3,run_2,Natalie Wood,0.0122699386503067
1039,3,run_1,Impatient Billionaire,0.0181818181818181
1039,3,run_1,Sea Ice,0.0183727034120734
1039,3,run_2,Pool Party,0.0427807486631016
1040,1,run_1,Natalie Wood,0.0159509202453987
1040,1,run_2,Dont Look,0.0126760563380281
1040,1,run_2,Grandfather Clocks,0.0186915887850467
1040,1,run_1,Sea Ice,0.0446194225721784
1040,1,run_1,Pool Party,0.0160427807486631
1040,1,run_2,Impatient Billionaire,0.0121212121212121
1041,2,run_2,Natalie Wood,0.0159509202453987
1041,2,run_1,Pool Party,0.0240641711229946
1041,2,run_2,Impatient Billionaire,0.0212121212121212
1041,2,run_1,Dont Look,0.0253521126760563
1041,2,run_1,Grandfather Clocks,0.0373831775700934
1041,2,run_2,Sea Ice,0.0131233595800524
1042,3,run_1,Dont Look,0.0338028169014084
1042,3,run_2,Grandfather Clocks,0.0261682242990654
1042,3,run_1,Impatient Billionaire,0.0151515151515151
1042,3,run_2,Natalie Wood,0.0220858895705521
1042,3,run_2,Pool Party,0.0187165775401069
1042,3,run_1,Sea Ice,0.0629921259842519
1043,1,run_2,Dont Look,0.0309859154929577
1043,1,run_2,Grandfather Clocks,0.0242990654205607
1043,1,run_1,Sea Ice,0.0209973753280839
1043,1,run_1,Pool Party,0.0133689839572192
1043,1,run_1,Natalie Wood,0.0196319018404908
1043,1,run_2,Impatient Billionaire,0.0151515151515151
1044,2,run_1,Pool Party,0.0267379679144385
1044,2,run_2,Impatient Billionaire,0.0303030303030303
1044,2,run_2,Natalie Wood,0.0147239263803681
1044,2,run_1,Grandfather Clocks,0.016822429906542
1044,2,run_2,Sea Ice,0.0288713910761154
1044,2,run_1,Dont Look,0.0140845070422535
1045,3,run_2,Grandfather Clocks,0.016822429906542
1045,3,run_2,Natalie Wood,0.0098159509202454
1045,3,run_1,Impatient Billionaire,0.0303030303030303
1045,3,run_1,Dont Look,0.0169014084507042
1045,3,run_1,Sea Ice,0.0314960629921259
1045,3,run_2,Pool Party,0.0160427807486631
